
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 199 -21 -0.240829 i
 199 -20 -0.23147 i
 199 -19 -0.221916 i
 199 -18 -0.212159 i
 199 -17 -0.20219 i
 199 -16 -0.192003 i
 199 -15 -0.181591 i
 199 -14 -0.170949 i
 199 -13 -0.160072 i
 199 -12 -0.148958 i
 199 -11 -0.137608 i
 199 -10 -0.126022 i
 199 -9 -0.114206 i
 199 -8 -0.102168 i
 199 -7 -0.089919 i
 199 -6 -0.0774749 i
 199 -5 -0.064854 i
 199 -4 -0.0520789 i
 199 -3 -0.0391757 i
 199 -2 -0.0261735 i
 199 -1 -0.0131038 i
 199  0 -4.0706e-15 i
 199  1  0.0131038 i
 199  2  0.0261735 i
 199  3  0.0391757 i
 199  4  0.0520789 i
 199  5  0.064854 i
 199  6  0.0774749 i
 199  7  0.089919 i
 199  8  0.102168 i
 199  9  0.114206 i
 199  10  0.126022 i
 199  11  0.137608 i
 199  12  0.148958 i
 199  13  0.160072 i
 199  14  0.170949 i
 199  15  0.181591 i
 199  16  0.192003 i
 199  17  0.20219 i
 199  18  0.212159 i
 199  19  0.221916 i
 199  20  0.23147 i
 199  21  0.240829 i
 199  22  0.250002 i
 199  23  0.258997 i
 199  24  0.267822 i
 199  25  0.276487 i
 199  26  0.284999 i
 199  27  0.293367 i
 199  28  0.301598 i
 199  29  0.3097 i
 199  30  0.317682 i
 199  31  0.325549 i
 199  32  0.333308 i
 199  33  0.340967 i
 199  34  0.348531 i
 199  35  0.356007 i
 199  36  0.3634 i
 199  37  0.370716 i
 199  38  0.37796 i
 199  39  0.385137 i
 199  40  0.392252 i
 199  41  0.39931 i
 199  42  0.406314 i
 199  43  0.413269 i
 199  44  0.420179 i
 199  45  0.427048 i
 199  46  0.43388 i
 199  47  0.440677 i
 199  48  0.447443 i
 199  49  0.454181 i
 199  50  0.460894 i
 199  51  0.467584 i
 199  52  0.474255 i
 199  53  0.480908 i
 199  54  0.487546 i
 199  55  0.494172 i
 199  56  0.500787 i
 199  57  0.507392 i
 199  58  0.51399 i
 199  59  0.520582 i
 199  60  0.52717 i
 199  61  0.533756 i
 199  62  0.540339 i
 199  63  0.546921 i
 199  64  0.553503 i
 199  65  0.560087 i
 199  66  0.566672 i
 199  67  0.573259 i
 199  68  0.579849 i
 199  69  0.586441 i
 199  70  0.593038 i
 199  71  0.599637 i
 199  72  0.60624 i
 199  73  0.612846 i
 199  74  0.619455 i
 199  75  0.626067 i
 199  76  0.632682 i
 199  77  0.639299 i
 199  78  0.645918 i
 199  79  0.652538 i
 199  80  0.659158 i
 199  81  0.665778 i
 199  82  0.672397 i
 199  83  0.679014 i
 199  84  0.685629 i
 199  85  0.69224 i
 199  86  0.698847 i
 199  87  0.705449 i
 199  88  0.712044 i
 199  89  0.718633 i
 199  90  0.725212 i
 199  91  0.731782 i
 199  92  0.738342 i
 199  93  0.744891 i
 199  94  0.751427 i
 199  95  0.757949 i
 199  96  0.764457 i
 199  97  0.770949 i
 199  98  0.777425 i
 199  99  0.783883 i
 199  100  0.790323 i
